HTL_CD,STY_DT,CURR_CD,RM_NTS,RM_REV_AMT_LOC
EXIUS,2019-12-31T00:00:00Z,USD,10,1091.14
EXIUS,2020-01-01T00:00:00Z,USD,7,713.76
EXIUS,2020-01-02T00:00:00Z,USD,22,2382.32999999999
EXIUS,2020-01-03T00:00:00Z,USD,19,2146.72
EXIUS,2020-01-04T00:00:00Z,USD,29,3334.10999999999
EXIUS,2020-01-05T00:00:00Z,USD,21,2724.51
EXIUS,2020-01-06T00:00:00Z,USD,37,4836.24999999999
EXIUS,2020-01-07T00:00:00Z,USD,51,6648.73999999999
EXIUS,2020-01-08T00:00:00Z,USD,41,5319.76999999999
EXIUS,2020-01-09T00:00:00Z,USD,27,3407.75999999999
EXIUS,2020-01-10T00:00:00Z,USD,19,2459.77
EXIUS,2020-01-11T00:00:00Z,USD,25,3168.49999999999
EXIUS,2020-01-12T00:00:00Z,USD,21,2605.95
EXIUS,2020-01-13T00:00:00Z,USD,42,5330.65999999999
EXIUS,2020-01-14T00:00:00Z,USD,56,6947.98999999999
EXIUS,2020-01-15T00:00:00Z,USD,37,4414.82999999999
EXIUS,2020-01-16T00:00:00Z,USD,32,4011.95999999999
EXIUS,2020-01-17T00:00:00Z,USD,19,1956.68
EXIUS,2020-01-18T00:00:00Z,USD,32,3764.16999999999
EXIUS,2020-01-19T00:00:00Z,USD,26,2641.76999999999
EXIUS,2020-01-20T00:00:00Z,USD,57,6742.09999999999
EXIUS,2020-01-21T00:00:00Z,USD,63,7669.88999999999
EXIUS,2020-01-22T00:00:00Z,USD,60,7195.22999999999
EXIUS,2020-01-23T00:00:00Z,USD,41,4802.08999999999
EXIUS,2020-01-24T00:00:00Z,USD,28,3139.26999999999
EXIUS,2020-01-25T00:00:00Z,USD,31,3344.21999999999
EXIUS,2020-01-26T00:00:00Z,USD,30,3263.84999999999
EXIUS,2020-01-27T00:00:00Z,USD,47,5388.36999999999
EXIUS,2020-01-28T00:00:00Z,USD,59,7058.95999999999
EXIUS,2020-01-29T00:00:00Z,USD,54,6219.92999999999
EXIUS,2020-01-30T00:00:00Z,USD,49,5521.06999999999
EXIUS,2020-01-31T00:00:00Z,USD,38,4974.30999999999
EXIUS,2020-02-01T00:00:00Z,USD,42,5512.69999999999
EXIUS,2020-02-02T00:00:00Z,USD,25,3241.69999999999
EXIUS,2020-02-03T00:00:00Z,USD,42,5505.61999999999
EXIUS,2020-02-04T00:00:00Z,USD,44,5469.63999999999
EXIUS,2020-02-05T00:00:00Z,USD,53,6783.14999999999
EXIUS,2020-02-06T00:00:00Z,USD,37,4621.82999999999
EXIUS,2020-02-07T00:00:00Z,USD,24,2994.13999999999
